dsc_item,n
AGUA SANITARIA  1000ML 22826,1
AGUA SANITARIA  SOLUCAO AQUOSA A BASE DE HIPOCLORITO SODIO OU CALCIO  TEOR DE CLORO ATIVO 2%PP  A 25%PP  ACONDICIONADO EM FRASCO PLASTICO OPACO DE 1 LT-56,1
AGUA SANITARIA  TEOR  2 A 2 50  DE CLORO ATIVO   FRASCOS DE 1L CADA 91021,1
AGUA SANITARIA (210072007890006),1
"AGUA SANITARIA ,ALVEJANTE,DESINFETANTE ,BACTERICIDA ,GERMICIDA , COMPOSICAO HIPOCLORITO DE SODIO ,HIDROXIDO DE SODIO  CLORETO  E AGUA ,EMBALAGENS DE 1 LITRO ,VAL 6 MESES ,CX C/ 12 UND",1
"AGUA SANITARIA - AGUA SANITARIA  CLORO ATIVO , 2 A 2,5 ,C/ 2,0  LITROS",1
AGUA SANITARIA - EMBALAGEM 1L,1
"AGUA SANITARIA 1 LITRO - BASE HIPOCLORITO DE SODIO - AGUA SANITARIA, SOLUCAO AQUOSA A BASE DE HIPOCLORITO DE SODIO  COM TEOR DE CLORO ATIVO DE 2   DOIS POR CENTO  A 2,5   DOIS E MEIO POR CENTO  DURANTE O PRAZO DE VALIDADE DE 06 MESES, DESTINADA TAMBEM TAMBEM A DESINFECCAO DE AGUA PARA CONSUMO HUMANO, HORTIFRUTICULAS E CAIXAS D AGUA. EMBALAGEM DEVE SER OPACA, COM TAMPA DE ROSCA OU PRESSAO, DEVENDO CONSTAR O PERCENTUAL DE HIPOCLORITO, NUMERO DE LOTE, DATA DE FABRICACAO  DEVENDO SER PROXIMO DA DATA DE ENTREGA , O PRAZO DE VALIDADE DO PRODUTO DIA/MES/ANO E DEMAIS DETERMINACOES EXIGIDAS PELO MINISTERIO DA SAUDE. ACONDICIONADA EM FRASCOS PLASTICOS, COM 01 LITRO.",1
AGUA SANITARIA 1 LITRO AGUA SANITARIA 1 LITRO,1
AGUA SANITARIA 1LT,1
AGUA SANITARIA 2 LITROS,1
"AGUA SANITARIA 2000ML, GALAO",1
AGUA SANITARIA = 1 LITRO =,1
AGUA SANITARIA A BASE DE CLORO FRASCO DE 1 LITROS,1
AGUA SANITARIA ALVEJANTE E DESINFETANTE DE USO GERAL 1 L,1
AGUA SANITARIA COM 1.000 ML (170675004351083),1
AGUA SANITARIA CX 12X1,1
"AGUA SANITARIA LIQUIDO ALVEJANTE DESINFETANTE E USO GERAL: LIQUIDO TRANSPARENTE, COMPOSTO DE HIPOCLORITO DE SODIO, HIDROXIDO DE SODIO, CARBONATO DE SODIO E AGUA, COM TEOR DE CLORO ATIVO 2  A 2,5  (PESO/PESO), COM AUTORIZACAO DE FUNCIONAMENTO DO FABRICANTE CONCEDIDO PELA ANVISA. FRASCOS DE 1 LITRO COM LACRE DE ROSQUEAR. CAIXA COM 12 UNIDADES.",1
"AGUA SANITARIA SOLUCAO AQUOSA A BASE DE HIPOCLORITO SODIO 1 LITRO AGUA SANITARIA SOLUCAO AQUOSA A BASE DE HIPOCLORITO SODIO OU CALCIO COM VALIDADE DE 6 MESES FRASCO PLASTICO OPACO TEOR DE CLORO ATIVO 2 PP A 2,5 PP 1 LITRO",1
"AGUA SANITARIA, A BASE DE HIPOCLORITO DE SODIO, COM TEOR DE CLORO ATIVO ENTRE 2,0 A 2,5 % P/P, EMBALAGEM PLASTICA DE 01 LITRO, COM DADOS DE IDENTIFICACAO DO PRODUTO, MARCA DO FABRICANTE, DATA DE FABRICACAO, PRAZO DE VALIDADE, CX COM NO MINIMO 12 UND GLOBO OU SUPERIOR",1
"AGUA SANITARIA, HIPOCLORITO DE SODIO E AGUA PRINCIPIO ATIVO: HIPOCLORITO DE SODIO TEOR DE CLORO ATIVO 2,0% A 2,5% P/P. FRASCO DE 2 LITROS, VALIDADE MINIMA 12 MESES A PARTIR DA DATA DE ENTREGA",1
"AGUA SANITARIA: ALVEJANTE, DESINFETANTE DE USO GERAL, FRASCO COM 1 LITRO, COM CLORO ATIVO (COMPOSICAO: HIPOCLORITO DE SODIO, CARBONATO DE SODIO E AGUA). DEVERA CONSTAR NO ROTULO DO PRODUTO DADOS DE IDENTIFICACAO DO FABRICANTE, MODOS DE UTILIZACAO, INSTRUCOES PARA USO DO PRODUTO, CODIGO DE BARRAS, NO DA AUTORIZACAO DE FUNCIONAMENTO DO FABRICANTE NA ANVISA, QUIMICO RESPONSAVEL E SEU RESPECTIVO CRQ, DATA DE VALIDADE, NUMERO DO LOTE E DATA DE FABRICACAO.",1
AGUA SANTA/SITIO DO MARCIO/SITIO DO PAULO NAZARIO/TOMBOS,1
ALCOOL GEL GEL A BASE DE ALCOOL PARA HIGIENIZACAO  A 70  COM ACAO ANTISSEPTICA  SEM ENXAGUE  COMPOSICAO: ALCOOL ETILICO  POLIMERO CARBOXILICO  NEUTRALIZANTE  UMECTANTE  CONSERVANTE  QUELANTE E AGUA DEIONIZADA  PRAZO DE VALIDADE: 24 MESES A PARTIR DA DATA DE FABRICACAO  EMBALAGEM: 1 LITRO,1
"ALCOOL SANEANTE 70%, FRASCO DE 1 LITRO ALCOOL ETILICO HIDRATADO NA CONCENTRACAO DE 70 INPM (70 % EM PESO), DILUIDO EM AGUA DEIONIZADA, INDICADO COMO ANTISSEPTICO TOPICO, PARA SER USADO NA PELE",1
"ALGODAO ORTOPEDICO 15 CM ALGODAO ORTOPEDICO 15 CM. ELABORADA A PARTIR DE FIBRAS 100  DE ALGODAO CRU, HIDROFOBO (NAO ABSORVE AGUA). EM FORMA DE MANTA COM CAMADA DE GOMA EM UMA DAS FACES, ENROLAMENTO UNIFORME EM TODA SUA EXTENSAO.",1
"ALICATE DE PRESSAO VISE-GRIP FABRICADO COM ACO ESPECIAL DE ALTA RESISTENCIAIDEAL PARA FIXACAO EM CANOS DE AGUA, DESCARGA DE AUTOMOVEIS E SUPERFICIES",1
"ALIMENTO NUTRICIONAL COMPLETO PARA NUTRICAO ENTERAL OU ORAL, NORMOCALORICO (NA DILUICAO PADRAO) SABOR BAUNILHA E MORANGO - EMBALAGEM DE 400 GRAMAS (TABELA DE DOSAGEM: 1,0 KCAL/ML) - CARACTERISTICA (OSMOLALIDADE 350 MOSM/KG DE AGUA INGREDIENTES MALTODEXTRINA, OLEO GIRASSOL, PROTEINA ISOLADA DE SORO DE LEITE DE VACA, SACAROSE, CASEINATO, DE POTASSIO, OLEO DE CANOLA, HIDROXIDO DE SODIO, CARBOMATO DE CALCIO, CLORETO DE MAGNESIO, VITAMINA C, TAURINA, L-CARNITINA, SULFATO FERROSO, VITAMINA E, SULFATO DE ZINCO, VITAMINA A, NIACINA, PANTOTENATO, DE CALCIO, VITAMINA D, SULFATO DE MANGANES, VITAMINA B6 , SULFATO DE COBRE, VITAMINA B1, VITAMINA B2, ACIDO FOLICO, IODETO DE POTASSIO, SELENITO DE SODIO, CLORETO DE CROMO, MOLIBDATO DE SODIO, VITAMINA K, BIOTINA, VITAMINA B12, EMULSIFICANTE LECITINA DE SOJA E AROMATIZANTE. NAO COTEM GLUTEN ALERGICOS: CONTEM DERIVADOS DE SOJA E LEITE",1
"ALMOFADA TINTADA ALMOFADA, TINTADA PARA CARIMBO Nº 03 COM TECIDO DE LONGA DURACAO EM ESTOJO COM TAMPA PLASTICA, MEDIAS 6,7CM, COMPOSICAO RESINA, AGUA, GLICOIS E CORANTES NA COR AZUL.",1
"ALVEJANTE, - PRINCIPIO ATIVO- HIPOCLORITO DE SODIO 2,0- 2,5 % P/P (CLORO ATIVO)- COMPOSICAO: PRINCIPIO ATIVO , ALCALINIZANTE , ESTABILIZANTE, ESSENCIA E AGUA. EMBALAGEM DE 1000 ML",1
"AMACIANTE DE ROUPAS DE 02 LITROSAMACIANTE DE ROUPAS 02 LITROS COMPOSICAO: COMPONENTE: CLORETO DE ALQUIL DIMETIL AMONIO CONCENTRACAO: 2 - 10% NO CAS: 61789-80-8, COMPONENTE: MIT/CMIT CONCENTRACAO: < 0,0015% NO CAS: 55965-84-9,COMPONENTE: FRAGRANCIA COMCENTRACAO 0,10 - 1,0% NAO APRESENTA CASFRAGANCIA TRADICIONAL TENSOATIVO-CATIONICO-CERAMIDAS-CONSERVANTE, UMECTANTE- CORANTE,OPASSIFICANTE, FRAGANCIA E AGUA- COMPONENTE ATIVO-CLORETO DE ALQUIL-DIMETIL AMONICO, COM HIDRACERAMIDAS REGISTRO MS  ROTULO EM MATERIAL RESISTENTE A AGUA E COM INFORMACOES CLARAS QUE COMUNICAM EXATAMENTE O QUE E O PRODUTO E PARA O QUE PODE SER UTILIZADO DERMATOLOGICAMENTE TESTADO.",1
ANALISE DE AGUA BRUTA  CONFORMIDADE: CONDICIONANTES DO COPAM  CLASSIFICACAO: QUIMICA  PARAMETRO: TOXICIDADE,1
ANEL DA BOMBA D'AGUA,1
ANEL SINCRON. 1ª / 2ª ./ KOMBI AGUA,1
"ANESTESICO LOCAL INJETAVEL, CONTENDO 50 ANESTUBES DE CRISTAL DE 1,8ML. CARACTERISTICAS: CLORIDRATO DE LIDOCAINA 20,0MG, EPINEFRINA BASE 10,0  G, VEICULO AQUOSO Q.S.P (BISSULFITO DE SODIO, CLORETO DE SODIO E AGUA), LIDOCAINA HCL 2% + EPINEFRINA 1:100.000 36MG +18 G.",1
"APARELHO DE ANESTESIA APARELHO DE ANESTESIA VENTILACAO MICRO PROCESSADA.AJUSTE DIGITAL PARA PRESSAO.AJUSTE DIGITAL PARA FREQUENCIA RESPIRATORIA.AJUSTE DIGITAL DE TEMPO INSPIRATORIO.PRESSAO MAXIMA OBTIDA PELA VENTILACAO.PRESSAO ATUAL PULMONAR.RELACAO INSPIRACAO EXPIRACAO.POSSIBILITA CICLAR POR PRESSAO, VOLUME E TEMPO.VAPORIZADOR AMBAR,  AJUSTES PARA DIFERENTES TIPOS DE ANESTESICOS.PESO: 19KGDIMENSOES: 43X130X46CMGARANTIA: 2 ANOSBISTURI ELETRONICO BP 100 PLUS ANALOGICO -COM CONTROLE DIGITAL E INDEPENDENTE DAS POTENCIAS PARA CORTE, BLEND E COAGULACAO. ALARME DE SEGURANCA QUE BLOQUEIA TODOS OS CIRCUITOS EM CASO DE ROMPIMENTO DO CABO DA PLACA NEUTRA. SAIDAS TOTALMENTE ISOLADAS. TECLAS TOTALMENTE BLINDADAS E A PROVA DE LIQUIDOS. PEDAL CONTRA PENETRACAO NOCIVA DE AGUA. VENTILACAO POR CONVENCAO NATURAL. PERMITE O USO DE PLACA NEUTRA SIMPLES DESCARTAVEL SEM USO DE UM ACESSORIO ESPECIFICO.POTENCIA DE SAIDACORTE: 100 W- CARGA 500 OHMSBLEND: 60 W - CARGA 500OHMS",1
"APARELHOS E UTENSILIOS DOMESTICOS PURIFICADOR DE AGUA 3,6 LITROS - PURIFICADOR, VOLTAGEM 110/220V, E PURIFICADOR DE AGUA MINIMO 3,6 LITROS - PURIFICADOR, VOLTAGEM 127 V. ESPECIFICACOES MINIMAS: EFICIENCIA ENERGETICA 0,08 KW/L, VOLUME INTERNO MINIMO 3,6 L, FORNECIMENTO DE AGUA GELADA 1,2 L/H, TEMPERATURA DE RESFRIAMENTO 10 C A 50 F, VAZAO MAXIMA 60L/H, COMPRESSOR. TIPO TRIPLA FILTRAGEM, MEDIDAS APROXIMADAS DE: LARGURA 30 CM, ALTURA 42,5 CM, PROFUNDIDADE 49 CM. PESO APROXIMADO: 26,2KG. CARACTERISTICAS ADICIONAIS: AGUA GELADA E NATURAL, APARELHO LIGADO A REDE DE ABASTECIMENTO DE AGUA. DEVERA ACOMPANHAR TODOS OS COMPONENTES NECESSARIOS PARA INSTALACAO, MANUAL DE UTILIZACAO EM PORTUGUES. GARANTIA DE FABRICA MINIMA DE 12 MESES.",1
AQUECEDOR PORTATIL ELETRICO P/ AGUA E LIQUIDOS RABO QUENTE,1
"ARLA 32 LITRO - SOLUCAO DE UREIA CERTIFICADA DE ALTA QUALIDADE E PUREZA. E UM REAGENTE QUE UTILIZA JUNTAMENTE COM O SISTEMA DE REDUCAO CATALISTICA SELETIVA  RCS  PARA REDUZIR QUIMICAMENTE AS EMISSOES DE OXIDO DE NITROGENIO PRESENTES NOS GASES DE ESCAPE DOS VEICULOS A DIESEL. E UMA SOLUCAO DE 32,5  UREIA DE ALTA PUREZA EM AGUA DESMINERALIZADA, QUE E TRANSPARENTE, NAO TOXICA E DE MANUSEIO SEGURO. NAO E EXPLOSIVO, INFLAMAVEL OU DANOSO AO MEIO AMBIENTE. E CLASSIFICADO COMO PRODUTO DE CATEGORIA DE RISCO MINIMO NO TRANSPORTE DE FLUIDOS. NAO E UM COMBUSTIVEL OU UM ADITIVO DE COMBUSTIVEL E PRECISA SER UTILIZADO EM UM TANQUE ESPECIFICO EM SEU VEICULO. O ABASTECIMENTO E FEITO EM FORME SEMELHANTE AO DIESEL.",1
"AROMATIZANTE /ODORIZADOR DE AMBIENTE AEROSOL FRASCO COM 360 ML AROMA LAVANDA COMPOSICAO: AGUA, SOLVENTE, ALCALINIZANTE, ANTIOXIDANTES, FRAGRANCIA, PRESERVANTE, EMULSIFICANTE, COADJUVANTE E PROPELENTES",1
"ASSENTAMENTO TUBO PVC COM JUNTA ELASTICA, DN 50 MM - (OU RPVC, OU PVC DEFOFO, OU PRFV) - PARA AGUA.,.",1
"AVENTAL - AVENTAL DE PROTECAO PARA O CORPO DO USUARIO CONTRA PROVENIENTES RISCOS DE PRODUTOS QUIMICOS  ACIDOS  ALCALIS E DETERGENTES  E AGUA  EM PVC REFORCADO EM TREVIRA, SEM EMENDA, COSTURAS LATERAIS REFORCADAS NAS DOBRAS DO TECIDO, COM APR",1
"AZEITONAS VERDES SEM CAROCO: EM CONSERVA, INT AZEITONAS VERDES SEM CAROCO: EM CONSERVA, INTEIRAS COM TAMANHOS E FORMAS REGULARES CONSERVADAS EM AGUA E SAL, LIVRE DE FERMENTACAO. ACONDICIONADO EM EMBALAGEM INTEGRA, ATOXICA, RESISTENTE, VEDADA HERMETICAMENTE E LIMPA, CONTENDO. EMBALAGEM 500 GRAMAS. VALIDADE MINIMA DE 6 MESES.",1
"BACIA PLASTICA TRANSPARENTE 8,6 L - COM BICO DIRECIONADOR DE AGUA, ESCALA MEDIDORA DE VOLUME E PEGA ANATOMICA E SEGURA. FEITA EM PLASTICO RESISTENTE E COM UM DESIGN MODERNO. CAPACIDADE: 8,6 LTS.",1
"BANDAGEM PRONTA PARA BOTA DE UNNA COMPOSTA POR BANDAGEM DE 100  BANDAGEM PRONTA PARA BOTA DE UNNA COMPOSTA POR BANDAGEM DE 100   ALGODAO-TECIDO NAO ESTERIL, INELASTICA, EMBALADA INDIVIDUALMENTE, IMPREGNADA  COM PASTA CONTENDO: OXIDO DE ZINCO A 10 , AGUA DESTILADA, GLICEROL, ALCOOL  CETO ESTEARILICO, CETOMACROGOL, OLEO MINERAL, GOMA DE GUAR, GOMA DE XANTINA,  METIL-PARA-HIDROXIBENZOATO E PROPIL-PARA-HIDROXIBENZOATO  7,5 CM X 6 M",1
BARBANTE DE ALGODAO N° 04 VERDE AGUA - 05000166309,1
BARRA DE CANO PVC AGUA ? COM 06 METROS,1
"BARRACA 02X02 EM ESTRUTURA METALICA DE ACO, COBERTURA EM LONA ANTI CHAMA, COM BALCAO, MODELOS: (01 AGUA, 02 AGUAS, PIRAMIDE, BRUXA, CUPULA), A CRITERIO DO MUNICIPIO.     212873372801",1
"BARREIRA PLASTICA - 120X44X60CM COMPOSICAO: POLIETILENO CONTRA ACAO DE DESBOTAMENTOPROTECAO CONTRA RAIOS UV E RESISTENTE AS INTEMPERIES CLIMATICASCOR: LARANJAPOSSUI 6 FAIXAS COM REFLETIVO BRANCOPESO: 7KG (VAZIA)ALTURA: 60CMCOMPRIMENTO: 1,20MLARGURA: 44CMENCAIXE MACHO-FEMEA PARA INTERLIGAR UMA PECA A OUTRABASE COM 3 SAPATAS PARA ESCOAMENTO DE AGUACOMPARTIMENTO INTERNO PARA PREENCHIMENTO COM AGUA, VISANDO MAIOR ESTABILIDADE E PESO AO PRODUTOEMPILHAVEL",1
BEBEDOURO COLUNA GARRAFO ESPECIFICACOES MINIMAS FREQUENCIA 60 HZ POTENCIA 112 W CONTROLE XTERNO DE TEMPERATURA TERMOSTATO FRONTAL BANDEJA DE AGUA REMOVIVEL MEDINDO 99 C X 31 3 CM PESANDO EM MEDIA 14 8 KG 170251,1
BEBEDOURO DE AGUA COLUNA 200 LITROS,1
BEBEDOURO DE AGUA DE COLUNACOM RESERVATORIO DE 25 LITROS DE AGUAEM POLIPROPILENO ISOLAMENTO EM EPS REVESTIMENTO EXTERNO EM INOX 430 BASE INJETADA APARADOR COM DRENO EM INOX 430 SERPENTINA INTERNA EM ACO INOX 304 02 TORNEIRAS GAS ECOLOGICO-62045,1
BEBEDOURO DE AGUA MINERAL- CAPACIDADE DE XICARAS/AGUA (EM LITROS): 03 LITROS/ HORA DE AGUA GELADA - DE ACORDO COM ABNT- NBR 13972. OPCOES DE TEMPERATURA BIVOLT,1
BEBEDOURO DE AGUA TIPO PRESSAO 02 SAIDAS SENDO UMA DE JATO E OUTRA PARA COPO TERMOSTATO BLINDADO GABINETE PIA E RESERVATORIO DE AGUA EM ACO INOXIDAVEL SERPENTINA DE COBRE EXTERNA E ISOLAMENTO TERMICO DE ISOPOR DIMENSOES APROXIMADAS 96CM ALTURA,1
"BEBEDOURO DE PRESSAO, CAPACIDADE DE REFRIGERACAO DE 6L/H, DEPOSITO DE AGUA EM ACO INOX, COM SERPENTI BEBEDOURO DE PRESSAO, CAPACIDADE DE REFRIGERACAO DE 6L/H, DEPOSITO DE AGUA EM ACO INOX, COM SERPENTINA EXTERNA, DRENO PARA LIMPEZA DA CUBA, TORNEIRA EM LATAO CROMADO (COPO E JATO), RALO SIFONADO, TAMPO EM INOX POLIDO, GABINETE EM ACO INOX, CONTROLE AUTOMATICO DA TEMPERATURA, FILTRO DE AGUA COM CARVAO ATIVADO, SERVE ATE 40 PESSOAS/H, VOLTAGEM 127/120V",1
"BEBEDOURO ELETRICO ACESSIVEL - BEBEDOURO ELETRICO, TIPO PRESSAO, ACESSIVEL PARA FIXACAO EM PAREDE, COM SISTEMA DE FILTRAGEM QUE INCLUA RETENCAO DE PARTICULAS (PIII) E REDUCAO DE CLORO (CL). DIMENSOES E CAPACIDADE ALTURA MAXIMA: 625 MM, LARGURA MAXIMA: 465 MM, PROFUNDIDADE MAXIMA: 490 MM, FORNECIMENTO MINIMO DE AGUA GELADA: 6 L/H. CARACTERISTICAS  PIA EM ACO INOX POLIDO. GABINETE EM ACO INOX OU CHAPA ELETROZINCADA. TORNEIRAS EM LATAO CROMADO DE FACIL E SUAVE ACIONAMENTO. ACIONAMENTO ELETRICO MEDIANTE BOTOES INDEPENDENTES PARA AGUA GELADA E NATURAL. IDENTIFICACAO DOS BOTOES, COM INDICACAO EM TEXTO E PARA LEITURA TATIL (BRAILLE). DUAS TORNEIRAS EM HASTE PARA COPO, COM JATO REGULAVEL. OBS.: VISANDO MELHORES CONDICOES DE HIGIENE PARA AS CRIANCAS, O BEBEDOURO NAO TERA TORNEIRA TIPO JATO PARA BOCA.RESERVATORIO DE AGUA EM ACO INOX AISI 304. SERPENTINA EXTERNA COM ISOLAMENTO TERMICO. PREVISOES PARA LIMPEZA, HIGIENIZACAO E DRENO. MANGUEIRAS ATOXICAS.",1
BEBEDOURO ELETRICO COM SUPORTE PARA AGUA MINERAL COM 02 TORNEIRAS E AJUSTES DE TEMPERATURA CAPACIDAD BEBEDOURO ELETRICO COM SUPORTE PARA AGUA MINERAL COM 02 TORNEIRAS E AJUSTES DE TEMPERATURA CAPACIDADE DO RESERVATORIO DE 23 LITROS TENSAO 110 220 SERPENTINA EXTERNA FACILITANDO A LIMPEZA AJUSTE DE TEMPERATURA BOTAO DE TERMOSTATO EXTERNO PLASTICO EM ALTO IMPACTO ALIANDO A CHAPA DE ACO CARBONO PINTADO OU INOX FUNIL SEPARADOR ALTURA 97CM LARGURA 300CM PROFUNDIDADE 31CM E PESO 1240 QUILOS,1
BEBEDOURO ELETRICO TOTALMENTE EM ACO INOX LIGADO DIRETAMENTE NA REDE DE AGUA,1
"BEBEDOURO INDUSTRIAL 03 TORNEIRAS, CAPACIDADE 200 LITROS, COM CUBA DE 11 LITROS, 110V, MODELO EM ACO INOX COM 02 TORNEIRAS COPO E 01 TORNEIRA ESGUICHO, COM CUBA INJETADA E P,P. DE ALTA RESISTENCIA. FACIL INSTALACAO COM FILTRO EMBUTIDO, MANUTENCAO SIMPLES, ACOMPANHADA DE MANGUEIRA, CONECTORES E TUBO DE DESPEJO, CUBA COM ARMAZENAMENTO DE AGUA, SEM NECESSIDADE DE SAIDA OU ESGOTO. CAPACIDADE DE RETENCAO DE AGUA: 11 LITROS",1
"BEBEDOURO INDUSTRIAL 100 LITROS  OU SUPERIOR, INOX ACQ, GABINETE ESTRUTURAL EM ACO INOX 430, CAPACIDADE DE ARMAZENAGEM: 100 LITROS OU SUPERIOR, COMPRESSOR HERMETICO EMBRACO, ISOLAMENTO TERMICO EPS, FILTRO INDUSTRIAL POU 5, APARADOR DE AGUA EM ACO INOX 430, FLEXIVEL PARA ESCOAMENTO EMBUTIDO,:    TORNEIRA DE ALTA RESISTENCIA EM METAL CROMADO, GAS REFRIGERANTE ECOLOGICO R134A, TERMOSTATO REGULADOR DE TEMPERATURA, PES REGULAVEIS, TENSAO: 127 OU 220 V, TORNEIRA PRESSAO/JATO OPCIONAL.",1
"BEBEDOURO INDUSTRIAL 100 LITROS INOX 4 TORNEIRAS BEBEDOURO INDUSTRIAL 100 LITROS INOX 4  TORNEIRAS - O BEBEDOURO INDUSTRIAL100 LITROS 4 TORNEIRAS  E UM APARELHO DE GRANDE PORTE, APOIADO SOBRE O PISO, COM  GRANDE CAPACIDADE DE ATENDIMENTO E REFRIGERACAO, PODENDO  ATENDER ATE QUATRO USUARIOS SIMULTANEAMENTE. IDEAL PARA  AMBIENTES DE GRANDE FLUXO DE PESSOAS. ROBUSTO E DE  DESIGN MODERNO, ATENDE COM EFICIENCIA AMBIENTES COMO,  POR EXEMPLO, GRANDES ACADEMIAS, CLUBES, INDUSTRIAS,  EMPRESAS, ESCOLA, FABRICA, GALPAO, IGREJA, OFICINA, HOSPITAL,  POSTO DE COMBUSTIVEL. TRATA-SE DE APARELHO DE PORTE  GRANDE, ROBUSTO E DE GRANDE CAPACIDADE DE FORNECIMENTO  DE AGUA GELADA E NATURAL, ATENDENDO ATE 4 PESSOAS  SIMULTANEAMENTE  POSSUI GABINETE EM CHAPA DE ACO INOX  ESCOVADO  FORNECE AGUA ATRAVES DE QUATRO TORNEIRAS  DISPONIVEIS, SENDO UMA EM CADA FACE LATERAL (DIREITA E  ESQUERDA) E DUAS NA FACE FRONTAL  POSSUI TERMOSTATO  AUTOMATICO E INTERNO MANTENDO A TEMPERATURA SEMPRE IDEAL  PARA O CONSUMO  SUA CAP",1
"BEBEDOURO INDUSTRIAL C/ 03 TORNEIRAS: CAPACIDADE P/ 150 LITROS COM REGULAGEM DE TEMPERATURA. AGUA COM TEMPERATURA ATE 23ºC E RESFRIADA PARA FAIXA DE 2ºC A 7ºC EM TEMPO MINIMO. TECNOLOGIA DE ISOLAMENTO EM POLIURETANO. ACABAMENTO EXTERNO EM ACO INOXIDAVEL. DENTRO DO DEPOSITO PARA AGUA, DEVERA CONTER UMA SERPENTINA CONFECCIONADA EM TUBO DE COBRE, COM REVESTIMENTO EM PINTURA A PO ELETROSTATICA, NA COR BRANCA. UNIDADE CONDENSADORA C/ BAIXO NIVEL DE RUIDO E BAIXO CONSUMO DE ENERGIA. COM FILTRO DE CARVAO ATIVO QUE REMOVE IMPUREZAS, RESIDUOS E ODOR DA AGUA PIA DE ESCOAMENTO EM VACUM-FORM. PES COM REGULAGEM DE ALTURA. 2 TORNEIRAS METALICAS PARA SAIDA DE AGUA COM GRANDE VAZAO. PADRAO DAS TORNEIRAS: 1 JARDIM/2 PRESSAO. MEDIDAS: PROFUNDIDADE COM A PIA: 740MM ALTURA: 1520MM LARGURA DA BASE: 715MM PROFUNDIDADE DA BASE: 560MM. CONSUMO DE ENERGIA: 127V: 18,90 KWH/MES. MOTOR: 1/4 CV. EFICIENCIA ENERGETICA: 127V: 0,011 KW/L. CAPACIDADE DE REFRIGERACAO: 127V: 11,00 L/H. CERTIFICADO DE ACORDO COM A P",1
BEBEDOURO INDUSTRIAL PARA AGUA REFRIGERADA 100 LITROS COM AS CARACTERISTICAS MINIMAS: GABINETE EM AC BEBEDOURO INDUSTRIAL PARA AGUA REFRIGERADA 100 LITROS COM AS CARACTERISTICAS MINIMAS: GABINETE EM ACO INOXIDAVEL 304  CAPACIDADE DE ARMAZENAMENTO DE 100 LTS  PARA USO DE ATE 200 PESSOAS DIA  SERPENTINA EM ACO INOX COM ISOLAMENTO EM POLIURETANO  03 TORNEIRAS EM ANTIMONIO  SENDO 02 PARA COPO E 01 JATO  TERMOSTATO FIXO COM REGULAGEM DE TEMPERATURA PARA AJUSTE DE 04 A 15 GRAUS  VOLTAGEM OPCIONAL EM 110 V E 220 V  COMPRESSOR HERMETICO DE 1/4 HP COM GAS ECOLOGICO R 134A  DEVE VIR ACOMPANHADO DE FILTRO SITERIZADO DE TRIPLA ACAO,1
"BEBEDOURO INDUSTRIAL: FABRICADO EM ACO INOXIDAVEL, DUPLA ISOLACAO TERMICA EM POLIURETAN BEBEDOURO INDUSTRIAL: FABRICADO EM ACO INOXIDAVEL, DUPLA ISOLACAO TERMICA EM POLIURETANO, SISTEMA HIDRAULICO PROJETA CONFORME AS NORMAS DA ABNT, TRIPLA FILTRAGEM, CONTENDO 03 TORNEIRAS EM ACO INOXIDAVEL, REGULAGEM EXTERNA TERMOSTATO, CONDENSADOR DUPLO, BAIXO AQUECIMENTO, COMPRESSOR HERMETICO SEDICIOSO  DEVENDO ELIMINAR GOSTOS, ODORES E IMPUREZAS A PARTIR DE 05 MICRAS  COM CAPACIDADE PARA 200 LITROS DE AGUA GELADA P/ HORA, COM BOJO. GARANTIA MINIMA DE 01 ANO.",1
BEBEDOURO TORRE GABINETE E TAMPO EM CHAPA DE ACO INOX FORNECE AGUA SOMENTE NA TEMPERATURA GELADA >,1
"BEBIDA DE SOJA VARIOS SABORES. EMBALAGEM TETRA PACK OU TETRA BRICK ASSEPTIC COM 1 LITRO. INGREDIENTES: EXTRATO DE SOJA, AGUA, ACUCAR, SAL, OLEO VEGETAL DE SOJA, AROMATIZANTES, ESTABILIZANTES, VITAMINAS E EMULSIFICANTES. NAO DEVE CONTER GLUTEN E LACTO",1
BEBIDA LACTEA ACHOCOLATADO TRADICIONAL 200 ML BEBIDA LACTEA ACHOCOLATADO TRADICIONAL 200 ML BEBIDA LACTEA  SABOR CHOCOLATE  CONSTITUIDO POR LEITE RECONSTITUIDO  SORO DE LEITE  AGUA  ACUCAR  CACAU EM PO  MINERAIS  CALCIO  MAGNESIO E FERRO   VITAMINAS  C  B1  B2  NIACINA  B6  B12  ACIDO PANTOTNICO  BIOTINA   SAL  ESPESSANTES CARRAGENA  GOMA XANTANA E CARBOXIMETILCELULOSE SODICA  AROMATIZANTES E ACIDULANTE ACIDO CITRICO  PRONTO PARA CONSUMO  EMBALADO EM CAIXA LONGA VIDA COM 200ML 25981,1
BISCOITO AGUA E SAL (BOA QUALIDADE),1
BISCOITO AGUA E SAL 200 G,1
BISCOITO AGUA E SAL 400G,1
"BISCOITO AGUA E SAL,",1
"BISCOITO AGUA E SAL. - BISCOITO TIPO CREAM CRACKER, CROCANTE, INTEIRO, INGREDIENTES  BASICOS: FARINHA DE TRIGO, GORDURA VEGETAL HIDROGENADA, AGUA E SAL. ROTULO COM INFORMACAO NUTRICIONAL, VALIDADE, LOTE. EMBALAGEM DE 400G.",1
