ID,dsc_item,melhor_classif,match_score
285,bloqueador solar fps 30  frasco 200 ml  agua acetato de vitamina e alcool estearilico benzonato de alquila c12 15 bisetilexiloxifenol metoxifenil triazina butilcabormato de iodopropinila butileno glicol carbomero potassio fosfato de setil, servicos para  a  infraestrutura de tecnologia da informacaoe comunicacao tic  nao classificados em outros top,38
286,blusa cinturada com tiras para amarrar atras  gola v e manga japonesa  bolso frontal em tecido cretone linhol verde agua  tamanho p  m e g, servicos para  a  infraestrutura de tecnologia da informacaoe comunicacao tic  nao classificados em outros top,41
287,boia caixa d? agua 12, caixa guarda anim,56
288,boia cx d agua 34, bolsa de algoda,55
289,boia de 12 para caixa d'agu, fita de aco para encintamento de embal,55
290,boia p caixa d'agua 20 mm boia p caixa d'agua 20 mm, oficina rural com base para acoplamento ao tra,45
291,boia p caixa d'agua de 12  130050292, caixa guarda anim,44
292,boia p cx d agua 12  haste metal , chapa de liga mista de met,50
293,boia para caixa d'agua ?, caixa para cigarr,57
294,boia para caixa d'agua com bitola de 12, bobina para cabo eletr,52
295,bola campo society a peca possui 11 gomos fusionados atraves de uma camada de dupla colagem e conta com as tecnologias kick off neogel e termotec garantindo o quique ideal para grama alem disso sua camara 6d e fabricada com borracha butilica e apresenta 6 discos posicionados simetricamente assegurando maior equilibrio e alta precisao ja seu miolo lubrificado e removivel conta com o sistema capsula sis e carrega um bico alongado que isola a agulha e retem o ar kick off oferece maior precisao em passes e chutes menor quique e melhor controle para o jogador termotec 0% absorcao de agua e permite o uso da bola em condicoes de chuva intensa garantindo a precisao e leveza na hora do chute neogel, servicos do comercio por atacado prestado por comissao o contratode livrosrevistasperiodicos e artigos de escritori,24
296,bola campo a peca oferece um tecido ecologico desenvolvido a partir de fios de poliester reciclados de garrafas pet conta com a tecnologia termotec sem costura oferecendo formato 100% esferico com 0% absorcao de agua alta durabilidade e maciez extra ha ainda em sua estrutura o sistema neotec composto de amortecimento interno exclusivo com 45mm de espessura que proporciona maior conforto aos chutes e diminui o impacto no cabeceio alem disso o miolo e lubrificado e removivel e conta com o sistema capsula sis que isola a agulha e protege a camara composicao poliuretano tecnologia termotec miolo removivel e lubrificado costura nao origem nacional peso aproximado 430 450 g circunferencia aproximada 69  71 cm, servicos do comercio por atacado prestado por comissao o contratode livrosrevistasperiodicos e artigos de escritori,24
297,bola de volei circunferencia 6567 cm peso 260280 gramas em microfibra sem costura miolo substituivel e zero absorcao de agu, servicos de agenciamento de transporte de carga e outros servicos auxiliares de transport,44
298,bola futebol campo termotec  genero  unissex tipo campotecnologia termotec definicao da tecnologia com 0% de absorcao de agua a tecnologia permite o uso da bola em condicoes de chuva intensa garantindo a precisao e leveza na hora do chute composicao poliuretano peso do produto 410450 g costura sem costura circunferencia 6870 cm garantia do fabricante 30 dias defeito de fabricacao origem nacional similar ou de qualidade superior a marca e modelo penalty s11 r1 ou penalty brasil 70 pr, servicos do comercio por atacado prestado por comissao o contratode livrosrevistasperiodicos e artigos de escritori,30
299,bola lisa para propriocepcao de coracao ideal para   fisioterapia    exercicios de forca  coordenacao e propriocepcao    uso na agua ou piscina  hidroterapia e hidroginastica    melhora a circulacao sanguinea    ideal para mass, servicos gerais de construcao de estradasexceto elevados ruasviasestradas de ferro e pistas de aterriz,39
300,bolacha de agua e sal pct, placa de alerta de seguranc,60
301,bolo sabor natural  bolo sabor natural com peso aproximado de 500g a 600g contendo os ingredientes farinha de trigo enriquecida com ferro e acido folico margarina fermento acucar agua ou leite ovos o produto dever estar acondicionado em , servicos para  a  infraestrutura de tecnologia da informacaoe comunicacao tic  nao classificados em outros top,39
302,bolsa agua quente 01lt, bola basquetebol,62
303,bolsa de agua quente 2 litr, bolsa de alumini,59
304,bolsa de coleta bolsa de polietileno para coleta de agua bolsa plastica com tarja de identificacao esterilizada nao fluorescente com pastilha nao toxica de tiossulfato de sodio  10mg capacidade 100ml medidas 75x185cm com sistema de fechamento  tencture troof tabs  na parte superior observacoes solicitar certificado de qualidade data de fabricacao validade e numero do lot, servicos para  a  infraestrutura de tecnologia da informacaoe comunicacao tic  nao classificados em outros top,34
305,bolsa de gel kit 2 bolsas termica de gel quente ou fria 13x18 cma bolsa termica de gel substitui a bolsa de agua quente tradicional com vantagens nao vaza mantem a temperatura por mais tempo que a agua e pode ser usada quente ou fria composicao produto atoxico   gel a base de celulose vegetal conteudo da embalagem 02   bolsa termica de gel quente ou fr, servicos para  a  infraestrutura de tecnologia da informacaoe comunicacao tic  nao classificados em outros top,34
306,bolsa p agua quente 20 x 30, bola basquetebol,50
307,bolsa termica para compressa de agua quente em borracha 250ml  tamanho de 215x125cm, barra de aco carbono  para  construcao  mecanica acima de 50m,46
308,bomba agua para brisa kombi escolar hlf 9671 bomba agua para brisa  kombi escolar hlf 9671, embalagem para transporte  agente quimico mil,41
309,bomba d agu, broa de fub,61
310,bomba d agua   sandeiro 10 16v ano 2013, agulha de nailon  nylon   pesc,43
311,bomba d agua  14   micro lo 712 mb 2005  hmg 6784  educacao  lote 14, servicos  de  consultoria  em  tecnologia  da  informacao  ecomunicacao tic,42
312,bomba d agua ducat, bolsa de algoda,59
313,bomba d agua jcb 214 , bobina para cabo eletr,50
314,bomba d agua mbenz 1418 19901991, bolsa de alumini,41
315,bomba d agua motor vw gol 10 puj4899 1415, bomba aspiradora mortu,41
316,bomba d agua para renault clio 10 16v flex ano 2010, embalagem para manuseio de explos,47
317,bomba d agua uno mille way 2012, goma de mascar  chiclete ,49
318,bomba d' agua lote 2, goma de mascar  chiclete ,57
319,bomba d'agua   ford currier para ford currier l 16 total flex 20102010, massa de poncar tinta para marcacao do trafeg,40
320,bomba d'agua  07w121011, bolsa de algoda,41
321,bomba d'agua  16, bolsa de algoda,50
322,bomba d'agua  fiat, bobina de fi,58
323,bomba d'agua motor 71100619, bomba aspiradora mortu,48
324,bomba d'agua no 55225126, bobina para fio eletr,43
325,bomba d'agua para fiat siena anomodelo 20142015 placa pug  4342, panagem  para confeccao de aparelho de pesc,41
326,bomba d'agu, agu,53
327,bomba dagua pali, agua pota,62
328,bomba d? agu, broa de fub,58
329,bomba d?agua , bolsa de algoda,55
330,bomba d?agua mo, agua coc,58
331,bomba de agua   patrol 319    4891252 bomba de agua   patrol 319    4891252, barra de aco carbono  para  construcao  mecanica acima de 50m,39
332,bomba de agua 6909, bolsa de algoda,59
333,bomba de agua dobl, broa de fub,60
334,bomba de agua orig p scania huber wabco vw 15190  ivec, barra de aco de secao meia  c,45
335,bomba para agua 34 50mt, bobina para cabo eletr,57
336,bomba submersa 450 watts para agua limpa  900 5 g 220 v, massa de poncar tinta para marcacao do trafeg,44
337,bomba submersa para captacao de agua potavel em pocos profundos tubulares com potencia 5 cv voltagem 220 v rpm 3460 frequencia 60 hz monofasico classe y fs 12 corrente 31 4 a corrente ifs 323 a reg continuo temperatura maxima agua 40o c, servicos de promocao e apresentacao relacionados as artes cenicas e outros espetaculos ao v,40
338,bomba torneira para garrafao galao de agua 10 e 20 litros funcionamento simples de encaixe na boca do galao de agua de 10 ou 20 litros sem ter a necessidade de viralo o acionamento da bomba e feito a partir de um botao acionador na parte superi, servicos de agenciamento de transporte de carga e outros servicos auxiliares de transport,40
339,bota cano curto ndeg40 parfeita em eva material emborrachado e confortavelleveapropriado para quem trabalha  muito tempo em petotalmente vedada compativel para quem trabalha em contato com a aguacalcado fechadode acordo com a nr32solado antiderrapanteprotecao dos pes do usuario contra riscos de natureza levepossuir ca na botacor branc, servicos para  a  infraestrutura de tecnologia da informacaoe comunicacao tic  nao classificados em outros top,35
340,bota de unna bandagem inelastica impregnada por oxido de zinco  em rolo agua destilada glicerol alcool ceto estearilico cetomacrogol oleo mineral goma de guar goma de xantina metil para microxiloenoato e propilpara hidroxiloenoato bandagempara bota de unna composta por algodao nao tecido inelastica embalada individualmente impregnada com pasta contendo oxido de zinco 10% agua destilada gliceriol goma de guar goma de xantina tamanho  75 cm x 9 metr, servicos do comercio por atacado prestado por comissao o contratode livrosrevistasperiodicos e artigos de escritori,30
341,bota de unna bandagem impregnada com pasta a base de oxido de zinco goma acacia glicerol oleo de ricinio e agua deionizada 75cm x 6cm318527, servicos gerais de construcao de tubulacoeslinhas de comunicacao e de energia de longa distanc,44
342,brilho aluminio composicao acido dodecil benzeno sulfonico espessante coadjuvante fragrancia preservante corante e agua componente ativo acido dodecil bezeno acido sulfonico ph a 1%pp 25 c 20 a 30 aspecto fisico liquido odor caracteristico embalagem com 500 ml, servicos do comercio por atacado prestado por comissao ou   por contratode produtos farmaceuticos e med,38
343,bucha de reducao pvc sold curta de 50mm x 40mm agu, caixa de papelao para transporte individual de fita magne,46
344,cabine  para ser utilizada em 03 tres ou mais dias de evento cabine de banheiro quimico em polie cabine  para ser utilizada em 03 tres ou mais dias de evento cabine de banheiro quimico em polietileno modelo standard equipado com papel higienico desinfetante quimico piso antiderrapante e sinalizacao livreocupado em perfeito estado nao sera aceita cabine com portas sem fechadura ou danificado o banheiro devera ter assepsia com caminhao tanque equipado com agua para higienizacao das cabines a limpeza devera ser completa durante todos os dias durante o evento uma unica vez por dia a empresa devera ter licenca ambiental apresentado juntamente com a proposta para comprovacao do tratamento dos dejet, servicos para  a  infraestrutura de tecnologia da informacaoe comunicacao tic  nao classificados em outros top,24
345,cafeteira para cafe expresso e cappuccino com reservatorio de aproximadamente 2 litros de agua com vaporizador com capacidade de 2 xicaras de cada vez utilizacao de po de cafe moido ou sache potencia de 800w dimensoes aproximadas do produto  cm axlxp 30x25x27cm, servicos para  a  infraestrutura de tecnologia da informacaoe comunicacao tic  nao classificados em outros top,38
346,caixa d  agua de polietilenocapacidade 310l, caixa de transporte de bebida  engradado ,52
347,caixa d agu, caixa de embal,69
348,caixa d agua 1000 l e polietileno com tamp, bobina de polietilen,51
349,caixa d agua 1000 litros   caixa d agua em polietileno de 1000 litros com tamp, gasolina a base de petroleo de veiculo de combat,46
350,caixa d agua 310 litros 190035010942120, aspirador po  agua  industr,42
351,caixa d agua 310 lt c tamp, caixa guarda anim,55
352,caixa d agua de 10000 litros  caixa d agua em polietileno de 10000 litros com tamp, servico de perfuracao de pocos de agua e instalacoes de sistemas sep,46
353,caixa d agua de fibra de vidro para 500 lts com tampa , bloco bruto de vidro para lente op,54
354,caixa d agua de polietileno 1000 lt, bobina de polietilen,57
355,caixa d agua de polietileno 310 l, bobina de polietilen,59
356,caixa d agua em polietileno de 1000 litros com sistema de travamento encaixe das tamp, polietileno de protecao de gasodut,48
357,caixa d agua polietileno c tampa 1000 litros 74251, polietileno  saco  revest,50
358,caixa d agua polietileno de 1000, bobina de polietilen,57
359,caixa d agua polietilino 1000 litros  caixa d agua polietilino 1000 litr, polietileno para protecao de oleodut,46
360,caixa d agua pvc 1000l, caixa de embal,54
361,caixa d' agua 310 litros em polietilen, bobina de polietilen,54
362,caixa d' agua 5000l polietileno caixa d' agua 5000l polietilen, polietileno para protecao de oleodut,46
363,caixa d'agua  1000 lt, caixa palet,55
364,caixa d'agua 1000l poliet, caixa palet,54
365,caixa d'agua 1000 lt polietilen, bobina de polietilen,58
366,caixa d'agua 1000 lts rt, caixa para blocos parafin,52
367,caixa d'agua 1000l polietilen, bobina de polietilen,60
368,caixa d'agua 1000lt poliet, caixa palet,53
369,caixa d'agua 15000lt  em polietileno com tamp, polietileno  saco  revest,48
370,caixa d'agua 250 lt, caixa palet,58
371,caixa d'agua 3000 l, caixa para melgu,56
372,caixa d'agua 310 litr, caixa guarda anim,56
373,caixa d'agua 500 lt  polietilen, bobina de polietilen,58
374,caixa d'agua 5000 l, caixa para melgu,56
375,caixa d'agua 500lt, caixa palet,60
376,caixa d'agua de fibra 500 l redonda c tamp, tecido de fibra nat,52
377,caixa d'agua de polietileno 2500 lt, bobina de polietilen,57
378,caixa d'agua de polietileno com tampa com capacidade para 250 litros de agu, polietileno de protecao de gasodut,47
379,caixa d'agua fibra 1000 l caixa d'agua fibra 1000 l, material adquirido pela marinha do brasil,45
380,caixa d'agua fibra 1000 lt, caixa guarda anim,55
381,caixa d'agua fibra 3000 l, caixa guarda anim,56
382,caixa d'agua fibra 500l c t, agua mineral nat,55
383,caixa d'agua polietileno 310l, bobina de polietilen,60
384,caixa d'agua polietileno 500 litros com tampa na cor azul, polietileno de protecao de gasodut,50
385,caixa d'agua polietileno 500l, bobina de polietilen,60
386,caixa d'agua pvc 10000 lt, caixa palet,49
387,caixa d'agua pvc 250 litros c, caixa para cigarr,51
388,caixa d'agua tanque 2500 lt em polietilen, bobina de polietilen,52
389,caixa d'agua 1000 litros  polietilen, bobina de polietilen,53
390,caixa d? agua polietileno 250 lt, bobina de polietilen,57
391,caixa d?agua plastica polietileno cor azul 500l, caixa de papelao dobra,51
392,caixa dagua polietileno 250 litros caixa d'agua polietileno 250 litr, polietileno para protecao de oleodut,50
393,caixa de agu, caixa de embal,74
394,caixa de agua  polietileno 250 l, bobina de polietilen,60
395,caixa de agua em polietileno 500l, bobina de polietilen,59
396,caixa de agua fibra 500 litr, caixa de papelao dobra,59
397,caixa de agua modelo garrafao 1000 lts  00400010001978, caixa de papelao dobra,42
398,caixa de d' agua fibra de 10000, caixa de papelao dobra,56
399,caixa de polietileno para armazenamento de agua com capacidade de 2000 lt, polietileno para protecao de oleodut,55
400,caixa de revelacao de filmes radiograficos odontologicos camara escura contendo recipientes com  tampa para agua revelador e fixador confeccionada em material de facil limpeza e passivel de desinfecca, servicos relacionados com a producao de filmes cinematograficos de televisao e programas de radi,43
401,caixa d`agua 1000 lt, caixa palet,56
402,caixa d`agua de polietileno 5000 litr, bobina de polietilen,55
403,caixa termica  c termometro fixo eficiencia termica > isolamento em poliuretano eficiencia termica muito maior do que as caixas com isolamento em eps isopor alca superior retratil > facil transporte tampa reversivel que serve de bandeja com 2 porta copos quando invertida caracteristicas gerais termometro digital de maxima e minima > instrumento de qualidade comprovada visor de facil leitura prova d`agua possui funcao ocof especificacoes caixa capacidade 47 litros dimensoes desconsiderando a alca comp x larg x alt 25 x 19 x 18 cm peso 720 g garantia 6 meses especificacoes termometro faixa de utilizacao 5070oc precisao  1oc entre 2050oc e  2oc acima de 50oc alimentacao 1 pilha aa inclus, servicos do comercio por atacado prestado por comissao o contratode livrosrevistasperiodicos e artigos de escritori,25
404,caixa termica com termometro digital 45 litro caixa termica com termometro digital 45 litro traz em sua composicao o isolamento termico alem de ser leve atoxica e de facil higienizacao desenvolvida em modelo compacto de 45 litros possui alca rigida com trava de seguranca que impede a abertura acidental da tampa e permite total vedacao caixa termica com termometro externo que mede a temperatura atual maxima e minima do conteudo interno termometro de maxima e minima produzido em material de alta resistencia revestimento interno em poliuretano pu que auxilia no isolamento termico capacidade para 15 litros facil higienizacao temperatura externa atraves de cabo e sensor maxima e minima funcao ocof ima de fixacao em objetos metalicos resistencia a agu, servicos do comercio por atacado prestado por comissao o contratode livrosrevistasperiodicos e artigos de escritori,23
405,cal hidratada para tratamento de agua  ca oh 2  9000%  minimo mg oh 2  22% maximo caco3  50% maximo granulometria maxima 22% retido em peneira de 0149 mm, barra de aco carbono  para  construcao  mecanica acima de 50m,39
406,calca de brim leve cor verde agu, calca  raspa de couro  epi ,57
407,calcado caracteritico calcado caracteristicas calcado para protecao contra impactos de quedas de objetos sobre os artelhos  calcado para protecao dos pes contra agentes termicos  calcado para protecao dos pes contra agentes abrasivos e escoriantes  calcado para protecao dos pes contra agentes cortantes e perfurantes  calcado para protecao dos pes e pernas contra umidade proveniente de operacoes com uso de agua  calcado para protecao dos pes e pernas contra respingos de produtos quimicos impermeabilizados com ponta reforcada com aco numeros de 35 a 46 conforme necessidade especificada no ped, servicos do comercio por atacado prestado por comissao o contratode livrosrevistasperiodicos e artigos de escritori,28
408,calculadora protecao contra agua e poeira 12 digitos tipo mesa conformidade com a iec 60529 ip 54 34h x 139w x 1875dmm  acao soc, servicos  de  consultoria  em  tecnologia  da  informacao  ecomunicacao tic,41
409,caminhao carroceria iveco tector 170 e22 ano 2014 placa pvo1115 chassi 93za1rgh0e8927064radiador de agu, barra de aco carbono  para  construcao  mecanica acima de 50m,40
410,caminhao iveco tector 9190 placa qxk9e85 ano 20192020 chassi 93za085dzl8937082radiador de agu, barra de aco carbono  para  construcao  mecanica acima de 50m,40
411,camisa confeccionada em malha pv ou pp confortavel e que garanta a qualidade do colorido na estamparia cor verde agua manga com dobra na manga e gola na cor branca para crianca de 11 e 12 , servicos de engenharia durante a fase de construcao e de instalacao de obras de engenharia civil,42
412,camisola hospitalar  para paciente adulto em cretone liso 100% algodao minimode 180 fios gramatura minima de 170 grm2 confeccao e apresentacao de 1  qualidade tamanho p com logomarca na frente resistente a multiplas lavagens solidez ao cloro tipo bata abertura frontal fechamento trespassado cor verde agu, servicos do comercio por atacado prestado por comissao ou   por contratode maquinariaequipamentos e supr,35
413,camisola tam inf transpassada tecido misto 160 f cores branca e verde agu, servicos de transporte maritimocosteiro e transoceanico de carg,48
414,caneta esferografica escrita media cor azul  caneta esferografica  escrita media tinta a base de agua  corpo plastico medindo com tampa aproximadamente 14cm  composicao carga atoxica na cor azul  tampa na mesma cor da tinta e com respiro antiasfixiante  gravada no corpo a marca do fabric, servicos para  a  infraestrutura de tecnologia da informacaoe comunicacao tic  nao classificados em outros top,38
415,caneta gel dourada ou prata tinta gel resistente a agua e luz grip triangular emborrachado fluxo de tinta suave e constante refil autolimpante permitindo que toda a tinta seja util, servicos para  a  infraestrutura de tecnologia da informacaoe comunicacao tic  nao classificados em outros top,41
416,caneta hidrocor ponta media e resistente tampa antisfixiante vedacao adequada pavio acetato corpo e tampa resina termoplastica ponta fina de poliester base de agua atoxica lavavel cores viva caixa c12, servicos de engenharia durante a fase de construcao e de instalacao de obras de engenharia civil,42
417,caneta hidrografica  estojo com 12 cores a base de agua medindo aproximadamente 14cm ponta 40mm escrita 18mm tinta a base de agua nao recarregavel atoxico validade de no minimo 02 anos contados a partir da data de entrega tampa apr, servicos de engenharia durante a fase de construcao e de instalacao de obras de engenharia civil,39
418,caneta hidrolocor  ponta media e resistente atoxica com tampa fabricada a base de agua c 24 c, servicos de integracao de sistemas em tecnologia da informacao e comunicacao tic,45
419,caneta marca texto  fluorescente  ponta chanfrada  com 2 possibilidades de largura dos tracos traco caneta marca texto  fluorescente  ponta chanfrada  com 2 possibilidades de largura dos tracos tracos largos e finos  tinta a base de agua espessura do traco fino de 1 0mm e traco largo de 4 5mm ponta em polietileno  corpo  tampa e fundo em polipropilen, servicos do comercio por atacado prestado por comissao o contratode livrosrevistasperiodicos e artigos de escritori,36
420,caneta marca texto amarela com tinta a base de agua ponta sintetica chanfrada traco 135 mm na cor amarela fluorescente com secagem rapida  caneta marca texto amarela com tinta a base de agua ponta sintetica chanfrada traco 135 mm na cor amarela fluorescente com secagem rapida 870014386, servicos para  a  infraestrutura de tecnologia da informacaoe comunicacao tic  nao classificados em outros top,36
421,caneta p  quadro branco  na cor azulponta 2 0mm  para escrita em acetato  tinta a base de alcool com secagem rapida e resistente a agua e umidade  ideal para transparncias 17851, servicos de engenharia durante a fase de construcao e de instalacao de obras de engenharia civil,41
422,cano de agua soldavel barra 6m 25mm, pau de barrac,49
423,cano marrom pvc 20 mm agu, camarao pre  prepar,49
424,cano marrom pvc agua 50mm , aspirador po  agua  industr,48
425,canudo plastico flexivel para agua ou suco 21cm x 6mm branco  pct com 100 unidades embalado individ, servicos do comercio por atacado prestado por comissao ou   por contratode bens de consumo divers,43
426,cap pvc roscavel branco para agua fria 2, extensor de braco para ginas,52
427,cap pvc roscavel 34 para agua fria pred, papel para cigarr,53
428,cap pvc soldavel 40 mm para agua fria pred, coldre para arma de fog,52
429,carbocisteina xarope adulto 50mgml cada ml do xarope adulto contem carbocisteina  50 mg veiculo q s p  1 ml veiculo sacarose  alcool etilico  corante caramelo  essencia artificial de canela  essencia artificial de rum  hidroxido de sodio  metilparabeno e agua purific, servicos do comercio por atacado prestado por comissao o contratode livrosrevistasperiodicos e artigos de escritori,38
430,carne bovina acem congelado limpo livre de aponeuroses fascias musculares tendoes dedos e sebo  livre de adicao de agua  a embalagem devera ser do material atoxico devidamente aprovado pelo orgao oficial de inspecao  possuir selo ou solda inviolavel a embalagem secundaria sera na forma usual do fornecedor  os dizeres de rotulagem devem atender a inspecao oficial nome verdadeiro  do produto segundo nomenclatura oficial  endereco completo do fabricante  peso  liquido  rotulagem  nutricional conservacao datas de producao lote e vencimento  a validade dos cortes fornecidos devera estar ate um terco tomada ou dois tercos livres  , servicos do comercio por atacado prestado por comissao o contratode livrosrevistasperiodicos e artigos de escritori,26
431,carne de frango tipo coxa e sobrecoxa de frangorotulado congelado com adicao de agua de no maximo 6% produto sifima contendo registro do rotul, servicos do comercio por atacado prestado por comissao ou   por contratode produtos farmaceuticos e med,48
432,carro funcional de limpeza fabricado com polipropileno  resistente bolsa de vinil com abertura frontal sistema de fixacao  para diversos tipos de acessorios acompanhado de balde com  rodas e divisor de agua limpa e suja com espremedor e  capacidade minima de 30 litros pa coletora de lixo basculante  placa sinalizadora  cuidado! piso molhado  armacao mop profi  com 40 cm feita em polipropileno de alta resistencia com  estrutura em aco galvanizado 2 cabos de aluminio com 140 cm e  haste americana para mop liqu, servicos do comercio por atacado prestado por comissao o contratode livrosrevistasperiodicos e artigos de escritori,30
433,carro maca hospitalar estrutura em tubo de aco carbono redondo  leito estofadocom espuma revestido em courvim d28 na cor verde agua cabeceira regulavel atraves de cremalheira  grades laterais de abaixar em tubo de aco inox  suporte parasoro com 02 ganchos t acabamento em pintura epoxi com tratamento antiferruginoso parachoque de protecao na cabeceira e pes rodizios de 5  em polipropileno com sistema de freio em diagonal medindo 190 m de comprimento x 060 m delargura e 080 m de altura capacidade de peso de no minimo 130 kg garantia deno minimo 01 ano registrado na anvis, servicos do comercio por atacado prestado por comissao o contratode livrosrevistasperiodicos e artigos de escritori,27
434,carro para limpeza construido em polipropileno com balde espremedor de 30 litros kits de limpeza liquido e po placa de sinalizacao pa balde espremedor com divisao de agua limpa e suj, servicos relacionados com a producao de filmes cinematograficos de televisao e programas de radi,44
435,cera liquida  incolor   cera liquida  incolor   cera liquida auto brilho incolor para piso frio dispensando o uso de enceradeira embalagem com 850 ml dispersao acrilica metalizada alcool baririco etoxilada alcalinisante plastificante conservante fragrancia e agua parafina carnauba  selo ecologico   falcao bau, servicos do comercio por atacado prestado por comissao o contratode livrosrevistasperiodicos e artigos de escritori,35
436,cera liquida  incolor leitoso  composicao a base de agua carnauba e resinas metalizadas  antiderrapante  impermeabilizante  cx c 12 lat, servicos gerais de construcao de estradasexceto elevados ruasviasestradas de ferro e pistas de aterriz,45
437,cera liquida incolor 750 ml 1a qualidade  composicao dispersao acrilica metalizada acrilmax emulsao de polietileno agente formador de fio agente nivelador plastificante fragancia concervante corante exeto ardosia max incolor e agu, servicos do comercio por atacado prestado por comissao ou   por contratode produtos farmaceuticos e med,40
438,cera liquida para piso principio ativo carnauba composicao basica parafina emulsificante conservante agua e sem perfume teor nao volateis min, servicos para  a  infraestrutura de tecnologia da informacaoe comunicacao tic  nao classificados em outros top,44
439,cera liquida vermelha composicao carnauba dispersao acrilica metalizada solvente tensoativos nao ionicos coadjuvante alcalizante plastificante 12 benzoisothiazolinona 3 fragancia e agua  750 ml, servicos relacionados com a producao de filmes cinematograficos de televisao e programas de radi,41
440,cera liquida incolor auto brilho embalagem 850 ml acrilica com acao auto brilho indicada para pisos ceramicos granitos marmores ardosias e paviflex  composicao basica resina natural silicone agua e perfume  acondicionado em frasco plasticocontendo 850ml validade 12 meses  produto sujeito a verificacao no ato da entrega  aos procedimentos administrativos determinados pela anvis, servicos do comercio por atacado prestado por comissao o contratode livrosrevistasperiodicos e artigos de escritori,35
441,cera liquida incolor  bombona 5 litros composicao emulsao de ceras naturais resina alcalisoluvel preservante fragancia e agu, servicos relacionados com a producao de filmes cinematograficos de televisao e programas de radi,47
442,cesta basica  contendo os seguintes produtos 02 pacotes de 250 gramas de cafe moido e torrado com selo abic 02 kg de acucar cristal 01 pcte de 05 kg de arroz branco polido tipo 1 02 kg de feijao carioca tipo 1 1 kg de farinha de mandioca torrada e moida clara 02 latas de oleo de soja 0  de gordura trans sem colesterol 01 pacote de 1 kg de macarrao tipo espaguete 01 pacote de 01 kg de sal moido iodado fino 01 achocolatado em po 200 gramas 01 biscoito agua e sal tipo cream crack 400 g 01 leite em po pcte 200 gram, servicos do comercio por atacado prestado por comissao o contratode livrosrevistasperiodicos e artigos de escritori,28
443,chuveiro para agua fr, couro para vestuari,63
444,chuveiro simples de pvc  agua fria de 7  chuveiro simples de pvc  agua fria de 7, servicos de manufatura de artigos texteis pecas de vestir eartigos de cour,48
445,cloreto de sodio sal granulado grosso  destinacao tratamento de agua para consumo humano  processo dissociacao eletrolitica e uso em gerador e dosador de solucao oxidante a base de hipoclorito de sodio com as seguintes propriedades cloreto de s, servicos do comercio por atacado prestado por comissao o contratode livrosrevistasperiodicos e artigos de escritori,41
446,cloro 02 litros de 1a qualidade acao germicida e bactericida desinfeta e desodoriza eliminando bacterias composicao de hipoclorito de sodio e aguateor de cloro ativo30% a 35% com todas informacoes pertinentes ao produto previsto no edit, servicos do comercio por atacado prestado por comissao o contratode livrosrevistasperiodicos e artigos de escritori,41
447,cloro super forte com teor de cloro ativo de 39 a 56  pp composicao  hipoclorito de sodio corante e agua o rotulo deve conter data de validade dados do fabricante principio ativo composicao do produto e conteudo liquido com validade min, servicos do comercio por atacado prestado por comissao o contratode livrosrevistasperiodicos e artigos de escritori,43
448,coffee break  fornecimento de coffee break considerando evento com preco por pessoa cafe leite agua 2 tipos de suco 2 tipos de refrigerantes  1 dietetico  3 tipos de biscoitos finos pao de metro cesta de paes variados torradas 3 tipos d, servicos do comercio por atacado prestado por comissao o contratode livrosrevistasperiodicos e artigos de escritori,43
449,cola branca  lavavel  nao toxica  adesiva pva a base de agua aprovado pelo inmetro  90 gr, servicos de leasing ou aluguel de outros tipos de maquinariae equipamento sem oper,44
450,cola branca a base de agua 1 kg, solvente de tinta a base de malt,53
451,cola branca liquida a base de agua nao toxica 40grs  acrilex bic faber castell scotch ou superior  , servicos de agenciamento de transporte de carga e outros servicos auxiliares de transport,44
452,cola colorida kit c 6 cores nao toxica soluvel em agua acabamento brilhante c 23g , materiais refratarios e de acabamento superficial contrafo g,48
453,cola escolar 250gr a base de agua lavav  00200201711, escorregador  fibra de vidr,43
454,cola liquida 500ml com bico com espatula aplicadora comtampa adicional no tubo que evita vazamento e com registro no conselho regional de quimica atoxicocomposicao resina pva e agua 38237, servicos do comercio por atacado prestado por comissao o contratode livrosrevistasperiodicos e artigos de escritori,42
455,colar de tomada pvc 32mm 34 agua classe a 170043009611102, servico de perfuracao de pocos de agua e instalacoes de sistemas sep,40
456,coluna para deionizador de agua modelo permution capacidade 50 litrosh, inibidor de germinacao de plant,49
457,composicao representativa do servico de instalacao de tubos de pvc soldavel agua fria dn 50 mm instalado em prmada incluisve conexoes cortes e ficacoes para predios   af 102015, servicos de instalacao da maquinaria e dos equipamentos medicos profissionaise instrumentos de precisao e o,46
